path,artifact_class,provenance_basis,third_party_content,redistribution_basis,disposition
plugins/skill-governance/skills/govern-skills/references/REF-governance-adoption-guide-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/references/RUN-govern-skills-workflow-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/references/STD-ai-skill-governance-prd-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/references/STD-approval-gates-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/references/STD-evidence-privacy-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/references/STD-governance-document-metadata-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/references/STD-runtime-enforcement-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/references/STD-skill-dependencies-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/references/STD-skill-primitives-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/references/STD-skill-structure-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/scripts/approval_verifier.py,project-authored-source-or-test,Project-authored source or test committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/scripts/claude_pretooluse.py,project-authored-source-or-test,Project-authored source or test committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/scripts/codex_pretooluse.py,project-authored-source-or-test,Project-authored source or test committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/scripts/govern_skills.py,project-authored-source-or-test,Project-authored source or test committed in the fresh public history.,"nominative product, service, or package references; external hyperlinks only",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/scripts/governance_control.py,project-authored-source-or-test,Project-authored source or test committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/scripts/governance_policy.py,project-authored-source-or-test,Project-authored source or test committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-skills/scripts/publisher_guard.py,project-authored-source-or-test,Project-authored source or test committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-work-tracker/SKILL.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-work-tracker/agents/openai.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-work-tracker/assets/examples/pmm-engine/EX-pmm-engine-work-tracker.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-work-tracker/assets/schemas/epic.schema.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,external hyperlinks only,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-work-tracker/assets/schemas/roadmap.schema.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,external hyperlinks only,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-work-tracker/assets/schemas/task.schema.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,external hyperlinks only,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-work-tracker/assets/templates/epic.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-work-tracker/assets/templates/roadmap.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-work-tracker/assets/templates/task.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-work-tracker/references/STD-approval-gates-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-work-tracker/references/STD-work-tracker-v1.0.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
plugins/skill-governance/skills/govern-work-tracker/scripts/govern_work_tracker.py,project-authored-source-or-test,Project-authored source or test committed in the fresh public history.,"nominative product, service, or package references; external hyperlinks only",Repository copyright holder's original contribution under Apache-2.0.,include
requirements-build.lock,generated-dependency-lock,Generated from requirements.txt by uv with distribution hashes.,"Package names, versions, and integrity hashes; no vendored code.",Generated factual manifest; packages retain upstream license terms.,include
requirements-build.txt,dependency-manifest,Project-authored dependency declaration.,Nominative package names and version constraints; no vendored code.,Manifest is project-authored; packages retain upstream license terms.,include
requirements.lock,generated-dependency-lock,Generated from requirements.txt by uv with distribution hashes.,"Package names, versions, and integrity hashes; no vendored code.",Generated factual manifest; packages retain upstream license terms.,include
requirements.txt,dependency-manifest,Project-authored dependency declaration.,Nominative package names and version constraints; no vendored code.,Manifest is project-authored; packages retain upstream license terms.,include
scripts/governance/build_ip_inventory.py,project-authored-source-or-test,Project-authored source or test committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
scripts/governance/configure_github_security.py,project-authored-source-or-test,Project-authored source or test committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
scripts/governance/diffguard_lite.py,project-authored-source-or-test,Project-authored source or test committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
scripts/governance/validate_github_actions.py,project-authored-source-or-test,Project-authored source or test committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
scripts/governance/validate_skill_pack.py,project-authored-source-or-test,Project-authored source or test committed in the fresh public history.,"nominative product, service, or package references; external hyperlinks only",Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/README.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/SKILL.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/agents/openai.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/assets/adopter-positioning-template.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/assets/competitor-registry-template.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/assets/config-template.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/assets/evidence-log-template.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/assets/mapping-template.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/assets/market-pack-template.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,external hyperlinks only,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/assets/onboarding-state-template.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/assets/output-template.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/assets/positioning-context-template.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/assets/run-record-template.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/assets/schemas/approval-record.schema.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,external hyperlinks only,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/assets/schemas/change-set.schema.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,external hyperlinks only,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/assets/schemas/claim-record.schema.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,external hyperlinks only,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/assets/schemas/competitor-state.schema.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,external hyperlinks only,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/assets/schemas/config.schema.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,external hyperlinks only,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/assets/schemas/evidence-manifest.schema.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,external hyperlinks only,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/assets/schemas/evidence-record.schema.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,external hyperlinks only,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/assets/schemas/market-pack.schema.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references; external hyperlinks only",Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/assets/schemas/run-state.schema.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,external hyperlinks only,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/assets/schemas/synthesis-package.schema.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,external hyperlinks only,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/assets/source-map-template.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/assets/stakeholder-lens-template.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/assets/tracker-templates.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/examples/EX-synthetic.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/examples/fictional-embedded-wallets/adopter-positioning.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,external hyperlinks only,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/examples/fictional-embedded-wallets/competitor-registry.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/examples/fictional-embedded-wallets/draft-briefing.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,external hyperlinks only,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/examples/fictional-embedded-wallets/evidence-log.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references; external hyperlinks only",Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/examples/fictional-embedded-wallets/market-pack.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,"nominative product, service, or package references; external hyperlinks only",Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/examples/fictional-embedded-wallets/onboarding-state.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references; external hyperlinks only",Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/examples/fictional-embedded-wallets/positioning-context.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/examples/fictional-embedded-wallets/run-record.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/examples/fictional-embedded-wallets/source-map.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references; external hyperlinks only",Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/examples/fictional-embedded-wallets/stakeholder-lens.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/examples/fictional-embedded-wallets/trackers.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/examples/fixtures/local-source.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/examples/fixtures/synthesis-package-template.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/examples/fixtures/synthetic-market-pack.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/examples/fixtures/synthetic-source.json,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,external hyperlinks only,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/references/DOC-evidence-and-claims.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/references/DOC-review-and-apply.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/references/DOC-setup-and-mapping.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/references/DOC-troubleshooting.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/references/REF-analyst-contract.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/references/RUN-onboarding.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/references/RUN-workflow.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/scripts/comp_intel.py,project-authored-source-or-test,Project-authored source or test committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/scripts/comp_intel_core/__init__.py,project-authored-source-or-test,Project-authored source or test committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/scripts/comp_intel_core/adapters.py,project-authored-source-or-test,Project-authored source or test committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/scripts/comp_intel_core/contracts.py,project-authored-source-or-test,Project-authored source or test committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/scripts/comp_intel_core/controller.py,project-authored-source-or-test,Project-authored source or test committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/scripts/comp_intel_core/io_utils.py,project-authored-source-or-test,Project-authored source or test committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/scripts/comp_intel_core/normalize.py,project-authored-source-or-test,Project-authored source or test committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/comp-intel/scripts/validate_comp_intel.py,project-authored-source-or-test,Project-authored source or test committed in the fresh public history.,external hyperlinks only,Repository copyright holder's original contribution under Apache-2.0.,include
skills/daily-starter/SKILL.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/daily-starter/agents/openai.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/daily-starter/assets/config-template.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/daily-starter/assets/output-template.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/daily-starter/examples/EX-synthetic.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/daily-starter/references/RUN-workflow.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/git-sweep/SKILL.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
skills/git-sweep/agents/openai.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
skills/git-sweep/assets/output-template.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
skills/git-sweep/examples/EX-synthetic.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/git-sweep/references/RUN-workflow.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
skills/git-sweep/scripts/worktree_hygiene.py,project-authored-source-or-test,Project-authored source or test committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
skills/guidance-review/SKILL.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/guidance-review/agents/openai.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/guidance-review/assets/output-template.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/guidance-review/examples/EX-synthetic.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/guidance-review/references/RUN-guidance-review-workflow.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/linkedin-ghostwriter/SKILL.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
skills/linkedin-ghostwriter/agents/openai.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
skills/linkedin-ghostwriter/assets/output-template.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/linkedin-ghostwriter/examples/EX-synthetic.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/linkedin-ghostwriter/references/REF-voice-profile-template.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/linkedin-ghostwriter/references/RUN-linkedin-ghostwriter-workflow.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
skills/manage-up/SKILL.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/manage-up/agents/openai.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/manage-up/assets/config-template.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/manage-up/assets/output-template.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/manage-up/examples/EX-synthetic.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/manage-up/references/RUN-workflow.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/marketing-brief/README.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
skills/marketing-brief/SKILL.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/marketing-brief/agents/openai.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/marketing-brief/assets/output-template.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/marketing-brief/examples/EX-synthetic.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/marketing-brief/examples/fictional-report-filters/marketing-brief.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references",Repository copyright holder's original contribution under Apache-2.0.,include
skills/marketing-brief/examples/fictional-report-filters/source-packet.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,"nominative product, service, or package references; external hyperlinks only",Repository copyright holder's original contribution under Apache-2.0.,include
skills/marketing-brief/references/REF-evidence-and-privacy.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/marketing-brief/references/REF-launch-tiers.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/marketing-brief/references/REF-source-priority.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/marketing-brief/references/RUN-marketing-brief-workflow.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/meeting-notes-scaffolder/SKILL.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/meeting-notes-scaffolder/agents/openai.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/meeting-notes-scaffolder/assets/config-template.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/meeting-notes-scaffolder/assets/output-template.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/meeting-notes-scaffolder/examples/EX-synthetic.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/meeting-notes-scaffolder/references/RUN-workflow.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/notes-weekly-team-comms/SKILL.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/notes-weekly-team-comms/agents/openai.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/notes-weekly-team-comms/assets/output-template.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/notes-weekly-team-comms/examples/EX-synthetic.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/notes-weekly-team-comms/references/RUN-workflow.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/notes-weekly-team-comms/scripts/weekly_update_transform.py,project-authored-source-or-test,Project-authored source or test committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/people-intelligence/SKILL.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/people-intelligence/agents/openai.yaml,project-authored-configuration,Project-authored configuration committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/people-intelligence/assets/output-template.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/people-intelligence/examples/EX-synthetic.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/people-intelligence/references/RUN-workflow.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
skills/pm-prioritizer/SKILL.md,project-authored-documentation-or-template,Project-authored documentation or template committed in the fresh public history.,none detected,Repository copyright holder's original contribution under Apache-2.0.,include
